name,city,region,league,latitude,longitude
Atlanta Braves,"Cumberland, GA",East ,National League,33.89,-84.468
Miami Marlins,"Miami, FL",East ,National League,25.778056,-80.219722
New York Mets,"New York, NY",East ,National League,40.756944,-73.845833
Philadelphia Phillies,"Philadelphia, PA",East ,National League,39.905833,-75.166389
Washington Nationals,"Washington, DC",East ,National League,38.872778,-77.0075
Chicago Cubs,"Chicago, IL",Central,National League,41.948038,-87.65568
Cincinnati Reds,"Cincinnati, OH",Central,National League,39.0975,-84.506667
Milwaukee Brewers,"Milwaukee, WI",Central,National League,43.028333,-87.971111
Pittsburgh Pirates,"Pittsburgh, PA",Central,National League,40.446944,-80.005833
St. Louis Cardinals,"St. Louis, MO",Central,National League,38.6225,-90.193056
Arizona Diamondbacks,"Phoenix, AZ",West,National League,33.445278,-112.066944
Colorado Rockies,"Denver, CO",West,National League,39.756111,-104.994167
Los Angeles Dodgers,"Los Angeles, CA",West,National League,34.073611,-118.24
San Diego Padres,"San Diego, CA",West,National League,32.7073,-117.1566
San Francisco Giants,"San Francisco, CA",West,National League,37.778611,-122.389167
Baltimore Orioles,"Baltimore, MD",East,American League,39.283889,-76.621667
Boston Red Sox,"Boston, MA",East,American League,42.34625,-71.09775
New York Yankees,"New York, NY",East,American League,40.829167,-73.926389
Tampa Bay Rays,"St. Petersburg, FL",East,American League,27.768333,-82.653333
Toronto Blue Jays,"Toronto, ON",East,American League,43.641389,-79.389167
Chicago White Sox,"Chicago, IL",Central,American League,41.83,-87.633889
Cleveland Indians,"Cleveland, OH",Central,American League,41.495833,-81.685278
Detroit Tigers,"Detroit, MI",Central,American League,42.339167,-83.048611
Kansas City Royals,"Kansas City, MO",Central,American League,39.051,-94.48
Minnesota Twins,"Minneapolis, MN",Central,American League,44.981667,-93.278333
Houston Astros,"Houston, TX",West,American League,29.756944,-95.355556
Los Angeles Angels,"Anaheim, CA",West,American League,33.800278,-117.882778
Oakland Athletics,"Oakland, CA",West,American League,37.751667,-122.200556
Seattle Mariners,"Seattle, WA",West,American League,47.591,-122.333
Texas Rangers,"Arlington, TX",West,American League,32.747361,-97.084167
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
